old                                      new                                      ref
2ccff748f0d59da34b01ce1fbceabcf19f452731 e4f8c96fcfd19bac433252c36fdf5bfa681e6d25 refs/heads/main
99d816af8eb199ce656c48605fedfaf1bd98e785 ab804ce99f1226d5a98b338c7efd1e51aafd4798 refs/tags/plugin-v0.10.0
e711eac09d42e1e388d5e16483bc7f9720af10f4 230d5d6f370e20b2339d1fd9455590dc78fd8df7 refs/tags/plugin-v0.100.0
75ddcd5aac5e5671c25132564f2d4237e2f5f9a9 7df7ac7dc56ac57f5da664b346a2c818886f079d refs/tags/plugin-v0.101.0
7cec7d30cf7f6eb321b8115aa0ea2037b8d1b7c6 632dbbc9fa15998c4d2b49b4bab2cdf25916cc77 refs/tags/plugin-v0.102.0
b7c205c2738c4a3ed0d82c31130647a41880d403 98a2632d762de5cb8ce5b003350b079a94bcc52e refs/tags/plugin-v0.103.0
ad6652b99253abb9ebe6a0b97ecb8875736b7ed1 09dad809da607ffe666be29701a7a7a8634c32bc refs/tags/plugin-v0.103.1
cf28de33bded6999060a9533dbb9b31af148bedb 62b8f72cde361200320b18e85f1c1f261e6b3067 refs/tags/plugin-v0.104.0
e442d8989bcc5831a4815f6095169ea30e45fa74 418c0eecd78c040e855e113f0999b5fe8172d51c refs/tags/plugin-v0.105.0
f3e183aa81188528e9af334e4d2049f0ce61587d 6b25b8af64eb19d9272992b11c8b37ea5784c9cf refs/tags/plugin-v0.106.0
cc7d0f8c337a01442334ca522cf3188be301ed1f 162f642aaee80aaa9620be2c0bdd3bdf12efbaa6 refs/tags/plugin-v0.107.0
7128006fe46f39074e089449602e0fce81289f5a fcabb207bf29217aff96b16373df9bf9a023638a refs/tags/plugin-v0.108.0
75c595c2e3dc1c6aea21336fdc9287b68736e8ab 0f4a586c955df478dbde311ea401459da7ae4841 refs/tags/plugin-v0.109.0
215da9ca604b96a0b7c2dcab3cd1145400811421 d1c903f61cfbf30dc021b9762c6b76456a0c1e51 refs/tags/plugin-v0.11.0
952cc060c48406f03f184c2cc3918dfe78bd855c 7c34ca7922034d7774de0571e0963424166b7264 refs/tags/plugin-v0.110.0
b6edb1f9444671bb192750ebe207fc9012af7e9f 01244f1128b842337163a8cf79309f1d795cc2c2 refs/tags/plugin-v0.111.0
f708fab61168547377b4b7c7c31561ebbf036f86 3d91659a0b910266a6957f775414871bc964e563 refs/tags/plugin-v0.112.0
4dbd32f1f1d2f1d3d175d9c7cd903aa0cb4f33f2 2dfec1cc1a762a51afa34f0d81fe209cfc97bcf6 refs/tags/plugin-v0.112.1
